Name,Pass_Efficiency_Score,Rush_Efficiency_Score,Experience_Score,Measurables_Score,Cluster,Round,size
Alex Brink,-0.4661100817091339,-0.27097607199063706,0.7039813463779265,-1.1386694273736304,Group 1,7,0.4225771273642583
Chad Henne,-0.4055484679504861,-0.9185744824449054,0.38156879327667353,-0.5019036335879824,Group 1,2,0.7905694150420948
Curtis Painter,-1.0617053803091265,-0.39961848640896763,1.1943007969057278,-0.3442852306998169,Group 1,6,0.4564354645876384
Sean Canfield,-0.6202484005681992,-1.1028315288358208,-0.7804233165313503,-0.16706434549227978,Group 1,7,0.4225771273642583
Jimmy Garoppolo,0.4755682447254659,-0.711985814855263,1.163617702624785,-0.8712697871913277,Group 1,2,0.7905694150420948
T.J. Yates,-0.5611356005206629,-0.5968556004194604,0.3317874335738608,-0.5770507876317426,Group 1,5,0.5
Sean Mannion,-0.27568738275026583,-2.747165282654725,0.8635906092206791,0.15882270280795913,Group 1,3,0.6454972243679028
Garrett Grayson,0.40745469237848125,0.018180320228712302,0.045544243744344876,-0.8546153604156888,Group 1,3,0.6454972243679028
Keith Wenning,-0.34711108104428545,-0.7009232087618024,1.1138329450241748,-0.46756846163097243,Group 1,6,0.4564354645876384
Tim Couch,0.14502001698578013,-1.1227364448793744,0.023341390964923537,-0.06423130548739416,Group 1,1,1.118033988749895
Geno Smith,0.9868229898432308,-0.3025402126602362,0.89638858305186,-0.7678419316113888,Group 1,2,0.7905694150420948
Tim Rattay,1.0422299544136822,-1.1074911323602008,0.5840177744816694,-1.7154141226152775,Group 1,7,0.4225771273642583
Matt Barkley,0.6450499393247509,-1.3017354764907587,0.4939017242083918,-1.0583916042258164,Group 1,4,0.5590169943749475
Ryan Nassib,-0.5026265870894256,-0.3059832686971156,0.5469430926336705,-0.6068278689852843,Group 1,4,0.5590169943749475
Tyler Wilson,0.3135998021444284,-0.5335575263295129,-0.6467615142231976,-1.0552617045857433,Group 1,4,0.5590169943749475
Landry Jones,0.13126624409483076,-2.56199950325176,1.558574279465556,-0.824397625757489,Group 1,4,0.5590169943749475
Marc Bulger,0.09201499997693213,-0.9896572695556678,-0.658776850324615,-1.4936277994976348,Group 1,6,0.4564354645876384
Chris Redman,-0.3563864084449924,-1.5632920939388602,0.8122148856074028,-0.9387696638909216,Group 1,3,0.6454972243679028
Josh Heupel,-0.3168998813351528,-0.17463178220254869,-0.3516197132713632,-0.787009629087499,Group 1,6,0.4564354645876384
John David Booty,0.09080286528823697,-1.259237119547567,-1.0352559304870346,-0.8912451601642299,Group 1,4,0.5590169943749475
Brandon Weeden,1.2730847773259522,-2.958910861799125,-0.7887495375820585,-1.0571993242908293,Group 1,1,1.118033988749895
Kurt Kittner,-1.0676049550302804,-0.0641489227666063,0.18469595715408715,-0.8299320542356139,Group 1,5,0.5
Patrick Ramsey,-0.964665970433853,-0.8686027305709045,0.25687515716359216,-1.1937857983572702,Group 1,1,1.118033988749895
Nick Foles,-0.11027126708936383,-1.932887701106938,0.23807305132846224,0.4722523731102131,Group 1,3,0.6454972243679028
Kirk Cousins,0.4606041957825567,-1.0130043878593218,-0.3592898637410561,-0.8190576390814366,Group 1,4,0.5590169943749475
Ryan Lindley,-0.7666869007029367,-2.2281932021626654,0.5408850237662508,-0.751752622466029,Group 1,6,0.4564354645876384
Derek Carr,0.9296133299677604,-0.8664805128537604,0.9448258368266159,-1.09849171977365,Group 1,2,0.7905694150420948
Kliff Kingsbury,-0.45627392747470735,-0.9883618587657214,1.7730687130525469,-0.3096255469935032,Group 1,6,0.4564354645876384
Rex Grossman,0.5064060187176738,-0.5487639611477326,-0.4351625627505215,-2.4481999176201903,Group 1,1,1.118033988749895
Jeff Smoker,-0.28916531289152647,-0.20277225267455154,0.13603259978893142,-0.3680057764557862,Group 1,6,0.4564354645876384
Luke McCown,-0.7509956736345734,-0.5082004210084281,1.4812216060512353,-0.3997712223912758,Group 1,4,0.5590169943749475
Eli Manning,-0.13595705597784685,-1.2808481861418852,0.14979616662983106,0.18822033504131794,Group 1,1,1.118033988749895
Dan Orlovsky,-0.8953878270999176,-1.4274253571077515,0.5642698020977798,0.0725120821919352,Group 1,5,0.5
David Greene,-0.09133984973915171,-0.7683200268811474,0.49436968056344616,-0.05293907280999992,Group 1,3,0.6454972243679028
John Beck,0.12259653464367773,-0.20857993006914677,0.8014117321971821,-0.8695952505270746,Group 1,2,0.7905694150420948
Brady Quinn,-0.3673846014516229,-0.40887911354779855,1.0445547970048554,-0.24105242974131744,Group 1,1,1.118033988749895
Nathan Enderle,-1.1981614864575953,-0.7361644416352777,0.4976412844054038,0.10257128055619061,Group 1,5,0.5
Erik Ainge,-0.34357234323705604,-1.8758816590521974,-0.3502497665969016,0.3360808391673055,Group 1,5,0.5
Michael Bishop,0.5496475317264422,1.670372184266705,-0.9394059722142228,-0.9172257743712339,Group 2,7,0.4225771273642583
Tom Savage,-0.6023769140654446,-0.3199279991527791,-0.8563835934552244,0.24228844205470954,Group 2,4,0.5590169943749475
Ryan Tannehill,-0.3813368553837731,0.12270320631597587,-0.6697581618994629,0.37549072849087545,Group 2,1,1.118033988749895
B.J. Coleman,-1.0349206580226622,-0.12112662973893859,-0.39373351371760956,0.03864205015942601,Group 2,7,0.4225771273642583
Mike Kafka,-1.1108596122664685,0.8392760102168204,-0.33142115378986237,0.3122702482510502,Group 2,4,0.5590169943749475
Matthew Stafford,-0.44285667000932827,0.017222163828508538,-0.4710834564695577,-0.6745405750826978,Group 2,1,1.118033988749895
Rhett Bomar,-1.8458024847340109,0.9376930414336634,-1.6075636108286613,-0.2851136063991086,Group 2,5,0.5
Matt Flynn,-0.4640526591160518,0.710243974650702,-1.3953597812911418,-0.15390895071257607,Group 2,7,0.4225771273642583
Trent Edwards,-1.7359575430417307,0.2808725696829942,-0.2846169490661072,0.3970210792580613,Group 2,3,0.6454972243679028
Brodie Croyle,-0.7928058326653235,-0.049993346005985324,-0.5472700222627983,-0.6826582336878453,Group 2,3,0.6454972243679028
D.J. Shockley,0.23410923152220195,1.2513371401304891,-1.3184183070312379,-0.80960427937177,Group 2,7,0.4225771273642583
Adrian McPherson,-0.8769481010081006,0.6990344385636335,-1.9245940282127538,0.5329429925899637,Group 2,5,0.5
J.P. Losman,-0.6926906434020945,0.3267382468921635,0.0041810155090548935,-0.4793568408943515,Group 2,1,1.118033988749895
Craig Krenzel,-0.6124951324515914,0.7403216972289276,-0.8594032886892746,0.6412266312341215,Group 2,4,0.5590169943749475
Josh Harris,-1.2338068213505475,0.5445618033666307,-2.118903205091206,-0.6359596487112719,Group 2,6,0.4564354645876384
Kyle Boller,-2.2240122285741273,0.16142082518446269,0.5035560238054716,-0.2482354013314156,Group 2,1,1.118033988749895
Seneca Wallace,-1.0567698697018142,1.3895584556222136,-0.4278223069535874,-1.285026253885493,Group 2,4,0.5590169943749475
Joey Harrington,-0.40751720930585306,0.03521892153675145,-0.48021715915636815,0.25075953054621747,Group 2,1,1.118033988749895
Josh McCown,-2.4288829488988073,0.7202232154659678,-0.768024930560262,0.23612596967542065,Group 2,3,0.6454972243679028
Randy Fasani,-0.32000595838364687,0.7869388770365533,-1.7015574858889284,0.5352288215265281,Group 2,5,0.5
Ronald Curry,-1.8706780594857864,1.6430982722733267,-0.3185752303631864,-0.4309210485071063,Group 2,7,0.4225771273642583
Michael Vick,0.791494662568509,1.9512243444495734,-1.332847632268757,-0.6604823291978313,Group 2,1,1.118033988749895
Quincy Carter,-0.8307771516948069,0.8471084831838349,-0.24375311184598783,-0.32957159631808597,Group 2,2,0.7905694150420948
Marques Tuiasosopo,-1.2619976692838266,1.4977695494018972,-0.05522924524495198,-0.6222008868100904,Group 2,2,0.7905694150420948
Sage Rosenfels,-1.8797128391741758,0.975264112832887,-0.9725229956051648,1.1283294394802543,Group 2,4,0.5590169943749475
Jesse Palmer,-0.45740615051052064,-0.04288968616995223,-1.7648990555107047,-0.5675357313591501,Group 2,4,0.5590169943749475
Mike McMahon,-2.1150856819221744,0.6383233678911416,-0.306192244371108,-0.7242558450620971,Group 2,5,0.5
Josh Booty,-2.501755248401467,-0.456402660529271,-1.5501706382913478,-0.9446818258510942,Group 2,6,0.4564354645876384
Tee Martin,-0.4188696734186064,1.120515287163284,-0.847884291590471,-0.13719171859168675,Group 2,5,0.5
Tom Brady,-0.3346172070301911,-0.8143233282642574,-1.2627139413509372,0.26410835410125183,Group 2,6,0.4564354645876384
